Wall time,Step,Value
1543523835.009897,415,86.0
1543523835.209179,421,109.0
1543523835.2560341,422,107.0
1543523835.314246,424,68.0
1543523835.624297,430,105.0
1543523835.928164,439,85.0
1543523836.004749,441,81.0
1543523836.053501,442,113.0
1543523836.119071,445,33.0
1543523836.3214872,451,58.0
1543523836.5973928,459,32.0
1543523836.6360478,460,89.0
1543523836.7517061,463,42.0
1543523836.774231,464,32.0
1543523837.061974,473,20.0
1543523837.0961359,474,79.0
1543523837.518465,485,100.0
1543523837.625437,488,126.0
1543523837.666848,489,94.0
1543523837.725593,491,17.0
1543523837.804906,493,69.0
1543523838.224769,507,41.0
1543523838.418446,512,47.0
1543523838.4894888,514,53.0
1543523838.611298,517,148.0
1543523838.834528,524,17.0
1543523838.86252,525,48.0
1543523839.0470002,531,53.0
1543523839.116492,533,112.0
1543523839.154526,534,87.0
1543523839.241533,536,90.0
1543523839.2732,537,35.0
1543523839.3691049,540,34.0
1543523839.437079,542,95.0
1543523839.600781,547,58.0
1543523839.627139,548,40.0
1543523839.907274,557,79.0
1543523839.968002,559,27.0
1543523840.084084,563,46.0
1543523840.114736,564,54.0
1543523840.3077571,569,86.0
1543523840.4457579,573,117.0
1543523840.492484,574,92.0
1543523840.5954401,577,44.0
1543523840.679592,579,144.0
1543523840.7287061,581,42.0
1543523840.754587,582,36.0
1543523840.795939,583,90.0
1543523840.8385332,584,101.0
1543523840.926116,586,110.0
1543523840.97045,587,110.0
1543523841.195006,592,95.0
1543523841.2440598,593,106.0
1543523841.552546,600,24.0
1543523841.625376,602,81.0
1543523841.821086,608,45.0
1543523841.905377,610,84.0
1543523842.07847,615,25.0
1543523842.2272341,620,100.0
1543523842.3223622,622,79.0
1543523842.778451,634,72.0
1543523843.0927181,641,195.0
1543523843.140832,642,115.0
1543523843.218463,644,131.0
1543523843.2437918,645,42.0
1543523843.264729,646,23.0
1543523843.302964,647,91.0
1543523843.362367,649,21.0
1543523843.475826,652,78.0
1543523843.6139069,656,113.0
1543523843.6508238,657,73.0
1543523843.787512,661,29.0
1543523843.9358552,664,186.0
1543523844.124403,668,99.0
1543523844.230994,671,62.0
1543523844.265532,672,70.0
1543523844.3256478,674,34.0
1543523844.368476,675,98.0
1543523844.4731562,677,76.0
1543523844.498015,678,29.0
1543523844.519947,679,25.0
1543523844.6445282,682,103.0
1543523844.687072,683,89.0
1543523844.771263,686,46.0
1543523844.837954,688,67.0
1543523844.882245,689,104.0
1543523845.221396,696,112.0
1543523845.4270191,699,87.0
1543523845.588067,703,112.0
1543523845.693161,706,40.0
1543523845.801523,708,85.0
1543523845.899269,710,52.0
1543523846.0312362,714,188.0
1543523846.1840708,718,47.0
1543523846.271182,721,25.0
1543523846.325269,722,144.0
1543523846.370839,723,105.0
1543523846.4106581,724,88.0
1543523846.718508,730,124.0
1543523846.966434,736,101.0
1543523847.020566,738,28.0
1543523847.059188,739,85.0
1543523847.199787,743,20.0
1543523847.31388,746,99.0
1543523847.3440058,747,56.0
1543523847.466801,750,92.0
1543523847.4923131,751,42.0
1543523847.5455308,752,140.0
1543523847.611285,754,42.0
1543523847.684756,756,82.0
1543523847.8968089,762,47.0
1543523848.0293498,765,121.0
1543523848.056164,766,41.0
1543523848.1633449,769,38.0
1543523848.195145,770,64.0
1543523848.227422,771,63.0
1543523848.2914538,773,112.0
1543523848.3284512,774,81.0
1543523848.55234,780,41.0
1543523848.704619,784,79.0
1543523848.738965,785,71.0
1543523848.832837,787,128.0
1543523848.9030972,789,118.0
1543523848.978448,791,85.0
1543523849.012044,792,64.0
1543523849.04973,793,83.0
1543523849.1020591,794,131.0
1543523849.1267798,795,35.0
1543523849.282937,798,185.0
1543523849.4795809,802,145.0
1543523849.6087658,805,110.0
1543523849.6918201,807,68.0
1543523849.746051,808,136.0
1543523849.786968,809,85.0
1543523850.054842,815,121.0
1543523850.075952,816,23.0
1543523850.1701162,818,89.0
1543523850.289291,821,91.0
1543523850.48123,825,87.0
1543523850.587334,828,86.0
1543523850.6638699,831,25.0
1543523850.695154,832,66.0
1543523850.763901,834,44.0
1543523850.8396642,836,86.0
1543523850.9297438,838,127.0
1543523851.131702,843,49.0
1543523851.249884,846,123.0
1543523851.337037,848,105.0
1543523851.892447,863,76.0
1543523852.083759,867,172.0
1543523852.171194,869,100.0
1543523852.208147,870,78.0
1543523852.3903449,874,92.0
1543523852.465788,876,63.0
1543523852.611886,880,108.0
1543523852.671284,882,81.0
1543523852.7326798,884,82.0
1543523852.832705,887,74.0
1543523852.9200351,889,109.0
1543523852.964021,890,99.0
1543523853.051562,892,89.0
1543523853.209752,896,97.0
