Wall time,Step,Value
1543523052.235487,5,0.24062754213809967
1543523053.9839349,18,0.24365423619747162
1543523054.793507,24,0.24512353539466858
1543523056.923311,40,0.2425784468650818
1543523057.184764,42,0.24218906462192535
1543523057.588452,45,0.2490648627281189
1543523057.858262,47,0.23873737454414368
1543523058.653635,53,0.24377939105033875
1543523059.0464058,56,0.24114380776882172
1543523061.080789,71,0.2441129982471466
1543523061.387672,73,0.24793747067451477
1543523061.534104,74,0.24670584499835968
1543523062.231987,79,0.24505792558193207
1543523063.332323,87,0.2405230551958084
1543523064.312831,94,0.24427109956741333
1543523065.407417,102,0.2456926852464676
1543523065.826835,105,0.2530162036418915
1543523065.963236,106,0.24709132313728333
1543523066.900098,113,0.25150978565216064
1543523067.568598,118,0.24337340891361237
1543523068.790016,126,0.24733063578605652
1543523071.0020401,139,0.24465620517730713
1543523073.178245,150,0.2475782185792923
1543523074.137627,155,0.25012099742889404
1543523074.8067589,158,0.24238453805446625
1543523076.408021,167,0.23740293085575104
1543523076.568903,168,0.24430285394191742
1543523078.087784,178,0.2419336587190628
1543523078.868457,183,0.24274373054504395
1543523079.175754,185,0.24210809171199799
1543523079.33075,186,0.24282945692539215
1543523079.95782,190,0.24280890822410583
1543523081.152139,198,0.23865105211734772
1543523082.3332531,206,0.2480183094739914
1543523082.509439,207,0.2396891862154007
1543523083.2988539,212,0.2475183755159378
1543523085.005087,223,0.24180163443088531
1543523085.870784,229,0.23925472795963287
1543523086.562388,234,0.24334606528282166
1543523086.981159,237,0.2449910044670105
1543523088.7387142,249,0.24423082172870636
1543523089.644087,255,0.2439538985490799
1543523090.3764648,260,0.24357472360134125
1543523090.820648,263,0.24582254886627197
1543523091.34443,267,0.25444456934928894
1543523091.926738,271,0.24360090494155884
1543523092.21202,273,0.24343404173851013
1543523094.7331998,292,0.2407679259777069
1543523095.389148,297,0.24857008457183838
1543523095.522319,298,0.24119220674037933
1543523096.2267962,303,0.242291659116745
1543523096.9951081,308,0.2415063977241516
1543523097.28108,310,0.2431524246931076
1543523098.5138948,318,0.23934990167617798
1543523098.661414,319,0.24238479137420654
1543523099.665975,326,0.24773626029491425
1543523100.219682,330,0.24082930386066437
1543523101.4135191,339,0.24641487002372742
1543523102.454877,347,0.2433224469423294
1543523104.764394,363,0.24501405656337738
1543523105.360467,367,0.24485306441783905
1543523106.273293,373,0.24736131727695465
1543523106.899015,377,0.23568379878997803
1543523107.196301,379,0.24465827643871307
1543523109.0912719,392,0.246362566947937
1543523111.2937112,408,0.24854759871959686
1543523113.002978,421,0.24138355255126953
1543523113.130649,422,0.2451869696378708
1543523113.413166,424,0.245866596698761
