Wall time,Step,Value
1543523052.235465,5,0.5042921900749207
1543523053.585978,15,0.5041992664337158
1543523053.983912,18,0.5045501589775085
1543523054.793484,24,0.5039981007575989
1543523056.923288,40,0.5035238265991211
1543523057.184741,42,0.5036496520042419
1543523057.454974,44,0.5029606819152832
1543523057.588428,45,0.5040097832679749
1543523057.858238,47,0.5038305521011353
1543523058.653611,53,0.5033342838287354
1543523059.0463822,56,0.5043057799339294
1543523060.2430809,65,0.502892792224884
1543523061.080765,71,0.50339674949646
1543523061.234632,72,0.5038549900054932
1543523061.387646,73,0.5034839510917664
1543523061.534081,74,0.503212034702301
1543523062.2319639,79,0.502642810344696
1543523063.3323011,87,0.5023602247238159
1543523064.312808,94,0.5030832290649414
1543523065.4073951,102,0.5024410486221313
1543523065.8268101,105,0.5023295879364014
1543523065.963215,106,0.5027226209640503
1543523066.9000719,113,0.5033782124519348
1543523067.568575,118,0.5030325055122375
1543523068.789991,126,0.503046989440918
1543523069.413286,130,0.5026309490203857
1543523071.00201,139,0.5026528835296631
1543523073.178218,150,0.5030431151390076
1543523074.137599,155,0.5023279190063477
1543523074.80673,158,0.5017980933189392
1543523076.407995,167,0.5016931295394897
1543523076.56888,168,0.5017025470733643
1543523078.087758,178,0.5020515322685242
1543523078.868434,183,0.5038156509399414
1543523079.1757288,185,0.5017629861831665
1543523079.3307269,186,0.5022007822990417
1543523079.957797,190,0.5007728934288025
1543523081.152116,198,0.5020728707313538
1543523082.33323,206,0.5003334283828735
1543523082.509414,207,0.49975886940956116
1543523082.6730711,208,0.49995535612106323
1543523083.298829,212,0.500739574432373
1543523085.0050619,223,0.5023401379585266
1543523085.8707619,229,0.5004386305809021
1543523086.562363,234,0.5003190040588379
1543523086.9811358,237,0.5005388259887695
1543523088.738673,249,0.5002028346061707
1543523089.6440609,255,0.501356840133667
1543523090.3764422,260,0.5002763271331787
1543523090.8206239,263,0.49919766187667847
1543523091.344407,267,0.4983549416065216
1543523091.926715,271,0.4997608959674835
1543523092.211956,273,0.5003443956375122
1543523094.7331772,292,0.4993728697299957
1543523095.389125,297,0.5006245374679565
1543523095.522296,298,0.49917393922805786
1543523096.226773,303,0.499908447265625
1543523096.995072,308,0.49849629402160645
1543523097.2810571,310,0.4979875087738037
1543523098.5138712,318,0.49749821424484253
1543523098.661391,319,0.4974440336227417
1543523099.665953,326,0.4987412691116333
1543523099.8050392,327,0.4995119571685791
1543523100.219659,330,0.4986029863357544
1543523101.413496,339,0.4973870515823364
1543523102.454853,347,0.49806708097457886
1543523104.764371,363,0.4968586564064026
1543523105.3604438,367,0.49791470170021057
1543523106.273269,373,0.498101145029068
1543523106.8989701,377,0.4970601499080658
1543523107.196275,379,0.500120997428894
1543523108.962219,391,0.49932315945625305
1543523109.091248,392,0.4974335730075836
1543523111.293687,408,0.49712178111076355
1543523113.002955,421,0.4977985620498657
1543523113.130625,422,0.4965816140174866
1543523113.4131432,424,0.4939524829387665
1543523114.214367,430,0.49501264095306396
1543523115.473618,439,0.4971231520175934
1543523115.741344,441,0.49219226837158203
1543523115.871163,442,0.4964095950126648
1543523116.261319,445,0.4956985414028168
1543523117.093735,451,0.49526727199554443
1543523118.345828,460,0.4942457973957062
1543523118.758202,463,0.4964146018028259
1543523118.887649,464,0.4961554706096649
1543523120.2494452,474,0.4941968023777008
1543523122.421105,489,0.4961310625076294
1543523122.6900978,491,0.4934144914150238
1543523122.968346,493,0.4934050440788269
1543523126.324814,507,0.49233347177505493
1543523127.060433,512,0.4924170970916748
1543523127.365488,514,0.49067962169647217
1543523127.822687,517,0.4949050545692444
1543523129.0244212,525,0.4910910427570343
1543523129.9870842,531,0.496955007314682
1543523130.2747462,533,0.4935738444328308
1543523130.706335,536,0.4914839565753937
1543523131.5896142,542,0.4918079376220703
1543523132.373087,547,0.4932629466056824
1543523133.76685,557,0.49090802669525146
1543523134.024645,559,0.4908369183540344
1543523134.565443,563,0.492114394903183
1543523135.421983,569,0.4932878017425537
1543523135.978706,573,0.4934003949165344
1543523136.805254,579,0.4943205416202545
1543523137.073924,581,0.492360919713974
1543523137.206709,582,0.4919400215148926
1543523137.4721332,584,0.4932838976383209
1543523137.743016,586,0.4926709234714508
1543523137.876747,587,0.49115225672721863
1543523138.569653,592,0.4935685396194458
1543523138.709381,593,0.4932320713996887
1543523140.051466,602,0.48905515670776367
1543523140.9840121,608,0.4935426414012909
1543523141.268748,610,0.49191033840179443
1543523141.957689,615,0.4883076548576355
1543523142.623706,620,0.4910914897918701
1543523142.883106,622,0.4924234449863434
1543523144.452659,634,0.4902878999710083
1543523145.37819,641,0.4906519651412964
1543523145.5159218,642,0.48695501685142517
1543523145.778091,644,0.49353739619255066
1543523145.908675,645,0.4900166392326355
1543523146.037266,646,0.4918818771839142
1543523146.167788,647,0.488110214471817
1543523146.42595,649,0.4928404688835144
1543523147.337488,656,0.4904322922229767
1543523148.006351,661,0.4901289939880371
1543523148.416967,664,0.4905480444431305
1543523148.9765,668,0.49028879404067993
1543523149.3916311,671,0.4876991808414459
1543523149.794274,674,0.48453912138938904
1543523150.347336,678,0.48971936106681824
1543523150.489724,679,0.49022161960601807
1543523151.0561159,683,0.4870789647102356
1543523151.765666,688,0.48902133107185364
1543523151.913982,689,0.4879840314388275
1543523152.869128,696,0.48559242486953735
1543523153.315864,699,0.4847427308559418
1543523153.905334,703,0.4886472821235657
1543523154.3188312,706,0.48198142647743225
1543523155.489866,714,0.48893025517463684
1543523156.12666,718,0.4861327111721039
1543523156.5505369,721,0.49011746048927307
1543523156.6883311,722,0.48586761951446533
1543523156.8335638,723,0.48942315578460693
1543523157.899345,730,0.48834875226020813
